HTML
<p>I wonder why........late.</p>,1,one,
,<p>they</p>
*,<p>they are</p>
,<p>are they</p>
<p>Neither Kate nor her friends............the game.</p>,1,one,
,<p>never play</p>
,<p>don't play</p>
*,<p>play</p>
<p>Mary offers............some sandwiches.</p>,1,one,
,<p>make</p>
*,<p>to make</p>
,<p>makes</p>
<p>Inga buys neither cheese........butter.</p>,1,one,
,<p>and</p>
,<p>or</p>
*,<p>nor</p>
<p>Granny asks me...........eat ice cream.</p>,1,one,
,<p>don't</p>
,<p>not</p>
*,<p>not to</p>
<p>She asks where.......... .</p>,1,one,
,<p>do they live</p>
,<p>have they lived</p>
*,<p>they live</p>
<p>Who............the computer the other day?</p>,1,one,
*,<p>used</p>
,<p>has used</p>
,<p>did use</p>
<p>Either Boris or Peter.............spoken to the teacher about it.</p>,1,one,
,<p>is</p>
,<p>have</p>
*,<p>has</p>
<p>Jerry asked............snow the next week.</p>,1,one,
,<p>will it</p>
,<p>if it will</p>
*,<p>if it would</p>
<p>...........of them lives in Vladimir?</p>,1,one,
,<p>Which</p>
*,<p>Who</p>
,<p>What</p>
