HTML
<p>I_________to tell you about a beautiful girl.</p>,1,one,
,<p>am wanting</p>
*,<p>want</p>
,<p>to want</p>
,<p>wants</p>
<p>Her name__________ Sally.</p>,1,one,
*,<p>is</p>
,<p>have</p>
,<p>are</p>
,<p>am</p>
<p>Sally _________12 years old.</p>,1,one,
,<p>are</p>
,<p>have</p>
*,<p>is</p>
,<p>am</p>
<p>She _________ a friend.</p>,1,one,
*,<p>has got</p>
,<p>have got</p>
,<p>is</p>
,<p>am</p>
<p>She _____ to the swimming pool.</p>,1,one,
,<p>go</p>
,<p>gos</p>
*,<p>goes</p>
,<p>to go</p>
<p>She _______ like potato.</p>,1,one,
,<p>don't</p>
*,<p>doesn't</p>
,<p>isn't</p>
,<p>aren't</p>
<p>We_____________ a book.</p>,1,one,
*,<p>read</p>
,<p>reads</p>
,<p>to read</p>
,<p>red</p>
<p>What ______ you like doing?</p>,1,one,
*,<p>do</p>
,<p>does</p>
,<p>are</p>
,<p>is</p>
<p>What ______ he draw every day?</p>,1,one,
,<p>do</p>
*,<p>does</p>
,<p>are</p>
,<p>is</p>
<p>How old ________she?</p>,1,one,
,<p>do</p>
,<p>does</p>
,<p>are</p>
*,<p>is</p>
<p>How old ________you?</p>,1,one,
,<p>do</p>
,<p>does</p>
*,<p>are</p>
,<p>is</p>
<p> ______you got a dog?</p>,1,one,
,<p>do</p>
*,<p>have</p>
,<p>are</p>
,<p>has</p>
<p>What ________ they do after school?</p>,1,one,
*,<p>do</p>
,<p>have</p>
,<p>are</p>
,<p>does</p>
<p>_____ you at home?</p>,1,one,
,<p>do</p>
,<p>have</p>
*,<p>are</p>
,<p>does</p>
<p>_____ he at work?</p>,1,one,
,<p>do</p>
*,<p>is</p>
,<p>are</p>
,<p>does</p>
