HTML
<p><strong>My friends _________ with toys at the moment.</strong></p>,1,one,
,<p>are play</p>
*,<p>are playing</p>
,<p>play</p>
,<p>plays</p>
<p><strong>My friend  _________ a test every day.</strong></p>,1,one,
,<p>write</p>
*,<p>writes</p>
,<p>is writing</p>
,<p>are write</p>
<p><strong>My friend  _________ a test every day.</strong></p>,1,one,
,<p>write</p>
*,<p>writes</p>
,<p>is writing</p>
,<p>are write</p>
<p><strong>Mark   _________ a test now.</strong></p>,1,one,
,<p>doesn't write</p>
,<p>isn't write</p>
*,<p>isn't writing</p>
,<p>aren't writing</p>
<p><strong>The pupils   _________ flowers at the lesson now.</strong></p>,1,one,
,<p>is drawing</p>
*,<p>are drawing</p>
,<p>don't draw</p>
,<p>doesn't draw</p>
<p>____ you eating now?</p>,1,one,
,<p>is</p>
*,<p>are</p>
,<p>do</p>
,<p>does</p>
<p>____ your friend talking now?</p>,1,one,
*,<p>is</p>
,<p>are</p>
,<p>do</p>
,<p>does</p>
<p>The children_________a snowman at the moment.</p>,1,one,
,<p>make</p>
,<p>makes</p>
,<p>is making</p>
*,<p>are making</p>
<p>He often _________  at school late.</p>,1,one,
,<p>come</p>
*,<p>comes</p>
,<p>is coming</p>
,<p>came</p>
<p><strong> What ______she do at home? </strong></p>,1,one,
,<p>do</p>
,<p>are</p>
,<p>do</p>
*,<p>does</p>
