HTML
<p>There is a beautiful vase ___ the table. (на)</p>,1,one,
*,<p>on</p>
,<p>in</p>
,<p>behind</p>
<p>There is a ball ____ the sofa. (под)</p>,1,one,
,<p>between</p>
*,<p>under</p>
,<p>in</p>
<p>There is a guitar ___ the sofa. (рядом с)</p>,1,one,
,<p>on</p>
,<p>behind</p>
*,<p>next to</p>
<p>There is a pencil ___ the desk. (на)</p>,1,one,
*,<p>on</p>
,<p>in</p>
,<p>next to</p>
<p>There is a window ___ the big room. (в)</p>,1,one,
,<p>under</p>
*,<p>in</p>
,<p>in front of</p>
<p>There is a bicycle ____ the garage. (перед)</p>,1,one,
,<p>in</p>
,<p>behind</p>
*,<p>in front of</p>
<p>There is a bed ___ the room. (в)</p>,1,one,
*,<p>in</p>
,<p>on</p>
,<p>next to</p>
<p>There is a box of sweets ___ the table. (на)</p>,1,one,
,<p>under</p>
*,<p>on</p>
,<p>between</p>
<p>There is a dress and a suit ___ the wardrobe. (в)</p>,1,one,
,<p>in front of</p>
,<p>on</p>
*,<p>in</p>
<p>There is an Italian textbook ___ the desk. (под)</p>,1,one,
*,<p>under</p>
,<p>in front of</p>
,<p>behinf</p>
<p>There is a watch ____ the computer. (перед)</p>,1,one,
,<p>in</p>
*,<p>in front of</p>
,<p>between</p>
<p>There is a chair and a round table _____ the sofa. (рядом с)</p>,1,one,
,<p>behind</p>
,<p>on</p>
*,<p>next to</p>
