HTML
<p>Katie is ______ than John. </p>,1,one,
*,<p>kinder</p>
,<p>more kind</p>
,<p>kindest</p>
<p>Katie is ________ than Mary. </p>,1,one,
,<p>cleverest</p>
*,<p>cleverer</p>
,<p>clever</p>
<p>This film is _______ than this book.</p>,1,one,
,<p>interestinger </p>
*,<p>more interesting</p>
,<p>most interesting</p>
<p>Her phone is________than mine.</p>,1,one,
*,<p>better</p>
,<p>gooder</p>
,<p>best</p>
<p>His dog is________than her dog. </p>,1,one,
,<p>more big </p>
,<p>biggest</p>
*,<p>bigger </p>
<p>My cooking is _________ than your sister's cooking.</p>,1,one,
*,<p>worse</p>
,<p>worst </p>
,<p>badder</p>
<p>These shoes are _____ than those shoes.</p>,1,one,
,<p>more nice</p>
,<p>nicest </p>
*,<p>nicer </p>
<p>This book is ______  than that book.</p>,1,one,
,<p>worst</p>
*,<p>worse</p>
,<p>badder </p>
<p>Russia is ______ than France.</p>,1,one,
*,<p>bigger</p>
,<p>biggest </p>
,<p>more big </p>
<p>People are______  than monkeys.</p>,1,one,
,<p>most intelligent</p>
*,<p>more intelligent</p>
,<p>intelligent</p>
<p>Maths is _____ than English.</p>,1,one,
*,<p>more difficult</p>
,<p>most difficult</p>
,<p>difficult</p>
<p>Books are ______  than films. </p>,1,one,
,<p>interesting</p>
,<p>most interesting</p>
*,<p>more interesting</p>
