HTML
<p>Look at how that man is driving! He________an accident.</p>,1,one,
*,<p>is going to have</p>
,<p>will have</p>
,<p>is having</p>
<p>When are you going to do your homework? I________  it at 3 o'clock. </p>,1,one,
*,<p>am going to do</p>
,<p>will do</p>
<p>Those shoes are well-made. They ____ last a long time.</p>,1,one,
*,<p>will </p>
,<p>will not</p>
,<p>is going to</p>
"<p>Sorry, but I___________with you on the trip. I have too much work to do here. </p>",1,one,
*,<p>am not going to come</p>
,<p>won't come </p>
,<p>am not coming </p>
<p>My friends and I_________the new film tonight. </p>,1,one,
,<p>will watch </p>
*,<p>are going to watch </p>
,<p>is going to watch </p>
<p>Look at that little boy at the puddle! He ______ into it.</p>,1,one,
*,<p>is going to fall </p>
,<p>will fall</p>
<p>The sky is dark. It ________ </p>,1,one,
*,<p>is going to rain</p>
,<p>will rain</p>
<p>I think it_________ tomorrow.</p>,1,one,
,<p>is going to snow </p>
*,<p>will snow</p>
,<p>is snowing </p>
<p>I think we ______ a test tomorrow.</p>,1,one,
*,<p>shall take</p>
,<p>are going to take</p>
<p>Tom is still sleeping. He _______ late for work. </p>,1,one,
,<p>are going to be</p>
*,<p>is going to be</p>
,<p>will be</p>
<p>_____ you turn on the light?</p>,1,one,
*,<p>Will </p>
,<p>Are ___going to </p>
<p>I think we _____ them.</p>,1,one,
*,<p>will phone</p>
,<p>are going to those</p>
