HTML
<p>Let's ________ (to swim) in the sea! </p>,1,one,
*,<p>swim</p>
,<p>swimming</p>
,<p>to swim</p>
<p>How about _____ (to go) to Singapore? </p>,1,one,
,<p>go</p>
*,<p>going</p>
,<p>to go</p>
<p>How about _______ (to go) to the concert? </p>,1,one,
,<p>go</p>
*,<p>going</p>
,<p>to go</p>
<p>Let's _______ (to make) a deal. </p>,1,one,
*,<p>make</p>
,<p>making</p>
,<p>to make</p>
<p>Let's _______ (not to go) to the shop. </p>,1,one,
*,<p>not go</p>
,<p>not going</p>
,<p>not to go</p>
<p>Let's ______ (to walk) with our dog.</p>,1,one,
*,<p>walk</p>
,<p>walking</p>
,<p>to walk</p>
<p>Let's ______ (to dance) tonight.</p>,1,one,
*,<p>dance</p>
,<p>dancing</p>
,<p>to dance</p>
<p>How about _______ (to visit) this museum?</p>,1,one,
,<p>visit</p>
*,<p>visiting</p>
,<p>to visit</p>
<p>How about _______ (to cook) dinner together?</p>,1,one,
,<p>cook</p>
*,<p>cooking</p>
,<p>to cook</p>
<p>How about ______ (to swim) in the river?</p>,1,one,
,<p>swim</p>
*,<p>swimming</p>
,<p>to swim</p>
<p>Let's ______ (to feed) the animals.</p>,1,one,
*,<p>feed</p>
,<p>feeding</p>
,<p>to feed</p>
<p>Let's _______ (to ask) him this question.</p>,1,one,
*,<p>ask</p>
,<p>asking</p>
,<p>to ask</p>
