HTML
"<p>As usual, my parents (to set) the table from 5.30 to 6.</p>",1,one,
,<p>set</p>
*,<p>will be setting</p>
,<p>will set</p>
<p>I (to read) customers’ reviews in the evening.</p>,1,one,
,<p>will read</p>
,<p>read</p>
*,<p>will be reading</p>
<p>Eric (to play) World of Tanks tomorrow.</p>,1,one,
*,<p>will be playing</p>
,<p>will play</p>
,<p>play</p>
<p>This time next week I (to have) dinner with Tiffany.</p>,1,one,
*,<p>will be having</p>
,<p>will have</p>
,<p>have</p>
<p>Tom (to wait) for you the whole day.</p>,1,one,
,<p>will wait </p>
,<p>wait</p>
*,<p>will be waiting</p>
<p>We (to play) Twister during the evening.</p>,1,one,
*,<p>will be playing</p>
,<p>will play</p>
,<p>play</p>
<p>Susie (not to tell) the secret to anyone.</p>,1,one,
*,<p>will not tell</p>
,<p>will not be telling </p>
,<p>doesn't tell</p>
<p>We (to pass) an exam next week </p>,1,one,
*,<p>will pass</p>
,<p>will be passing </p>
,<p>pass</p>
<p>Tom (be) at school in 10 minutes</p>,1,one,
,<p>will be being </p>
*,<p>will be </p>
,<p>be </p>
<p>My father (to drive) a car tomorrow. </p>,1,one,
,<p>will be driving </p>
*,<p>will drive</p>
,<p>drive</p>
<p>Anna (to go) to the park today. </p>,1,one,
*,<p>will go</p>
,<p>will be going </p>
,<p>go</p>
<p>I (to go) to Japan a few times next year. </p>,1,one,
,<p>will be going </p>
,<p>go </p>
*,<p>will go</p>
