HTML
<p>Bread (to eat) every day.</p>,1,one,
,<p>eat</p>
*,<p>is eaten </p>
,<p>am eating</p>
<p>The letter (to receive) yesterday.</p>,1,one,
*,<p>was recieved</p>
,<p>recieved</p>
,<p>recieve</p>
<p>Nick (to send) to Moscow next week.</p>,1,one,
,<p>will send</p>
,<p>is sent</p>
*,<p>will be sent</p>
<p>I (to ask) at the lesson yesterday.</p>,1,one,
,<p>asked</p>
*,<p>was asked</p>
,<p>will be asked</p>
<p>I (to give) a very interesting book at the library last Friday.</p>,1,one,
,<p>gave</p>
,<p>is given </p>
*,<p>was given</p>
<p>Not many houses (to build) in our town every year.</p>,1,one,
*,<p>are built </p>
,<p>will be built</p>
,<p>build</p>
<p>This work (to do) tomorrow.</p>,1,one,
,<p>was done</p>
,<p>will do </p>
*,<p>will be done</p>
<p>This text (to translate) at the last lesson.</p>,1,one,
*,<p>was translated</p>
,<p>translated</p>
,<p>will be translated</p>
<p>These trees (to plant) last autumn.</p>,1,one,
,<p>planted</p>
*,<p>were planted</p>
,<p>will be planted</p>
<p>A lot of interesting games always (to play) at our PT lessons.</p>,1,one,
*,<p>are played</p>
,<p>will be played</p>
,<p>play</p>
<p>This bone (to give) to my dog tomorrow.</p>,1,one,
*,<p>will be given</p>
,<p>will give</p>
,<p>was given </p>
<p>We (to invite) to a concert last Saturday.</p>,1,one,
,<p>will be invited</p>
*,<p>were invited</p>
,<p>invited</p>
