HTML
"<p>If I (to have) a dog, I (to be) happy</p>",1,one,
*,<p>had/would be</p>
,<p>have/would be</p>
,<p>had/be</p>
"<p>If she (not to have) this disease, she (to feel) well</p>",1,one,
,<p>haven't/would feel</p>
*,<p>didn't have/would feel</p>
,<p>didn't have/feel</p>
"<p>If he (to know) her number, he (to call) her?</p>",1,one,
,<p>know/call</p>
,<p>know/would call</p>
*,<p>knew/would call</p>
<p>You (to be) smarter if you (to study) better</p>,1,one,
*,<p>would be/studied</p>
,<p>be/studied</p>
,<p>would be/study </p>
<p>I (to think) you're joking if I (not to know) you</p>,1,one,
*,<p>would think/didn't know</p>
,<p>thought/didn't know</p>
,<p>think/ don't know</p>
<p>How you (to spend) one million dollars if you (to have) it?</p>,1,one,
,<p>spent/had</p>
*,<p>would spend/had</p>
,<p>would spend/have</p>
"<p>If I (to have) more time, I (to read) more</p>",1,one,
*,<p>had/would read</p>
,<p>have/read</p>
,<p>had/read</p>
"<p>If they (not to sleep) so much, they (to be able) to do more things</p>",1,one,
*,<p>didn't sleep/wouldn't be able</p>
,<p>don't sleep/don't be able </p>
,<p>didn't sleep/didn't be able</p>
<p>You (to come) if she (to invite) you?</p>,1,one,
,<p>Will come/invite</p>
,<p>Do come/invite</p>
*,<p>Would come/invited</p>
<p>What you (to do) if she (to tell) you the truth?</p>,1,one,
*,<p>Would do/told</p>
,<p>Will do?will tell</p>
,<p>Do yoy do/tell</p>
<p>Women (not to like) him so much if he (not to be) so attractive</p>,1,one,
*,<p>would not like/was not </p>
,<p>don't like/was not</p>
,<p>didn't like/was not</p>
<p>You (to do) her homework if she (to ask) you?</p>,1,one,
,<p>Would do/ask</p>
*,<p>Would do/asked</p>
,<p>Would do/will ask</p>
