HTML
"<p>You can copy down my answers, _________ I'm not sure they're right. </p>",1,one,
*,<p>although</p>
,<p>in spite of </p>
,<p>despite </p>
,<p>however </p>
,<p>unless </p>
"<p>___________ you haven't been kind to my uncle, I will be pleased to help you one more time. </p>",1,one,
*,<p>although</p>
,<p>in spite of </p>
,<p>despite </p>
,<p>however </p>
,<p>unless </p>
<p>We went out i___________ the rain.</p>,1,one,
,<p>although</p>
*,<p>in spite of </p>
,<p>despite </p>
,<p>however </p>
,<p>unless </p>
<p>The picture made her laugh __________herself. </p>,1,one,
,<p>although</p>
*,<p>in spite of </p>
,<p>despite </p>
,<p>however </p>
,<p>unless </p>
<p>He reaches his destination ___________ many unfortunate contrarieties. </p>,1,one,
,<p>although</p>
,<p>in spite of </p>
*,<p>despite  </p>
,<p>however </p>
,<p>unless </p>
"<p>___________ the pain in his leg, he completed the marathon.</p>",1,one,
,<p>although</p>
,<p>in spite of </p>
*,<p>despite  </p>
,<p>however </p>
,<p>unless </p>
"<p>____________having all the necessary qualifications, they didn’t offer me the job.</p>",1,one,
,<p>although</p>
,<p>in spite of </p>
*,<p>despite  </p>
,<p>however </p>
,<p>unless </p>
<p>I will help __________ I can. </p>,1,one,
,<p>although</p>
,<p>in spite of </p>
,<p>despite  </p>
*,<p>however </p>
,<p>unless </p>
<p>Do it ___________ you like. </p>,1,one,
,<p>although</p>
,<p>in spite of </p>
*,<p>however </p>
,<p>despite  </p>
,<p>unless </p>
<p>_____________ did he get that job? </p>,1,one,
,<p>although</p>
,<p>in spite of </p>
,<p>despite  </p>
*,<p>however </p>
,<p>unless </p>
<p>I can't leave her __________ I know she's all right </p>,1,one,
,<p>although</p>
,<p>in spite of </p>
,<p>despite  </p>
,<p>however </p>
*,<p>unless </p>
<p>I shall not go ___________the weather is fine. </p>,1,one,
,<p>in spite of </p>
,<p>despite  </p>
,<p>however </p>
,<p>although</p>
*,<p>unless </p>
