HTML
<p>Who has _______ this house today?</p>,1,one,
*,<p>left</p>
,<p>leaves</p>
<p>What ___she _______ for two years?</p>,1,one,
,<p>is / studying</p>
*,<p>has /been studying</p>
<p>I  _______ a book today.</p>,1,one,
*,<p>have read</p>
,<p>read</p>
<p>I  _____never__ to Paris.</p>,1,one,
*,<p>have / been</p>
,<p>is / being</p>
<p>Look! My bird ___________.</p>,1,one,
*,<p>is fallling</p>
,<p>falls</p>
<p>When ___ you _____ in the morning?</p>,1,one,
*,<p>do / have breakfast</p>
,<p>is having breakfast</p>
<p>I _____ already  _____ breakfast.</p>,1,one,
,<p>am / cooking</p>
*,<p>have/ cooked</p>
<p>She _______ in France.</p>,1,one,
*,<p>doesn't live </p>
,<p>isn't living</p>
<p>What ____ you ______?</p>,1,one,
*,<p>Have / eaten</p>
,<p>have/ ate</p>
<p>We ____  for an hour.</p>,1,one,
*,<p>have been walking</p>
,<p>are walking</p>
