HTML
<p>I saw the boy ____ his hand.</p>,1,one,
,<p>to raise</p>
*,<p>raise</p>
<p>I heard him ____ my name.</p>,1,one,
*,<p>call</p>
,<p>to call</p>
<p>I watched her _______ the street.</p>,1,one,
,<p>cross</p>
,<p>to cross</p>
*,<p>crossing</p>
<p>I saw them _____ in the park. </p>,1,one,
*,<p>playing</p>
,<p>play</p>
,<p>to play</p>
<p>His mum wants him _____ his homework. </p>,1,one,
*,<p>to do</p>
,<p>doing</p>
,<p>do</p>
<p>Shh! I hear someone_____ .</p>,1,one,
,<p>to cry</p>
,<p>cry</p>
*,<p>crying</p>
<p>He can’t make me ______ this! </p>,1,one,
,<p>to do</p>
*,<p>do</p>
,<p>doing</p>
<p>His mum allowed him_____ home late tonight. </p>,1,one,
,<p>come</p>
,<p>coming</p>
*,<p>to come</p>
<p>Don’t let him _____ you. </p>,1,one,
*,<p>fool</p>
,<p>to fool</p>
,<p>to fooling</p>
<p>He found his door ______</p>,1,one,
,<p>opening</p>
*,<p>not to be opened</p>
,<p>don't opened</p>
<p>I heard her ______ a famous English song. </p>,1,one,
*,<p>singing</p>
,<p>sing</p>
,<p>to sing</p>
<p>She felt ____ voice tremble. </p>,1,one,
,<p>hers</p>
,<p>she</p>
*,<p>her </p>
