HTML
<p>I ... for you.</p>,1,one,
,<p>have waiting</p>
*,<p>have been waiting</p>
,<p>has been waiting</p>
<p>It was an ... film.</p>,1,one,
*,<p>amazing</p>
,<p>amazed</p>
,<p>amaze</p>
<p>He stayed at home ... the dishes.</p>,1,one,
*,<p>washing</p>
,<p>washes</p>
,<p>washed</p>
"<p>... that his friend was late, he didn’t hurry up.</p>",1,one,
*,<p>Knowing</p>
,<p>Knew</p>
,<p>Know</p>
<p>I heard you ... .</p>,1,one,
,<p>comes</p>
*,<p>coming</p>
,<p>come</p>
<p>I see him ... at me.</p>,1,one,
,<p>looked</p>
*,<p>looking</p>
,<p>look</p>
<p>I’m scared of that ... dog.</p>,1,one,
,<p>is running</p>
,<p>run</p>
*,<p>running</p>
<p>I wasted money ... this car.</p>,1,one,
*,<p>buying</p>
,<p>buy</p>
,<p>is buying</p>
<p>She notices us ... .</p>,1,one,
,<p>studied</p>
*,<p>studying</p>
,<p>study</p>
<p>They ... at that time tomorrow.</p>,1,one,
,<p>will working </p>
*,<p>will be working</p>
,<p>will work</p>
<p>... an English book he learnt a lot of new words.</p>,1,one,
*,<p>Reading</p>
,<p>Reads</p>
,<p>Read</p>
<p>Look at the trees ... in our garden.</p>,1,one,
,<p>are growing</p>
*,<p>growing</p>
,<p>grow</p>
