HTML
<p>The girl's teeth ___ white.</p>,1,one,
,<p>is</p>
*,<p>are</p>
"<p>My toes ___ clean, but my fingers ___ dirty.</p>",1,one,
,<p>is/is</p>
*,<p>are/are</p>
<p>The tiger's body ___ long.</p>,1,one,
*,<p>is</p>
,<p>are</p>
"<p>Let's do morning exercises. Our right foot ___ on the floor, our hands ___ on the chair.</p>",1,one,
*,<p>is/are</p>
,<p>are/is</p>
<p>These ___ horses' heads on the photo.</p>,1,one,
,<p>is</p>
*,<p>are</p>
<p>The elephants' trucks ___ strong.</p>,1,one,
,<p>is</p>
*,<p>are</p>
<p>His arm ___ on the table.</p>,1,one,
*,<p>is</p>
,<p>are</p>
<p>Where ___ your eyes?</p>,1,one,
,<p>is</p>
*,<p>are</p>
<p>This ___ my tooth.</p>,1,one,
*,<p>is</p>
,<p>are</p>
<p>Your ear ___ red.</p>,1,one,
*,<p>is</p>
,<p>are</p>
