HTML
<p>Look! I ___ porridge. It is not ready.</p>,1,one,
,<p>cook</p>
*,<p>am cooking</p>
,<p>cooked</p>
<p>My parents ___ from morning till late at night.</p>,1,one,
*,<p>work</p>
,<p>are working</p>
,<p>worked</p>
<p>Where were you yesterday? I ___ with my father.</p>,1,one,
,<p>swim</p>
,<p>is swimming</p>
*,<p>swam</p>
<p>At the shop I ___ a beautiful raincoat. It was a month ago.</p>,1,one,
,<p>buy</p>
,<p>am buying</p>
*,<p>bought</p>
<p>Who ___ this nice sweater for me?</p>,1,one,
,<p>buy</p>
,<p>am buying</p>
*,<p>bought</p>
<p>Mum!  I  ___ help you about the house.</p>,1,one,
*,<p>can't</p>
,<p>-</p>
,<p>couldn't</p>
<p>When ___ you ___ home yesterday?</p>,1,one,
,<p>do ___ come</p>
*,<p>did ___ come</p>
,<p>are ___ coming</p>
<p>His is ill. He ___ too much ice-cream.</p>,1,one,
,<p>eats</p>
*,<p>ate</p>
,<p>is eating</p>
<p>It is late. I ___ to bed.</p>,1,one,
,<p>go</p>
,<p>went</p>
*,<p>am going</p>
<p>___ your hat!</p>,1,one,
*,<p>Take off</p>
,<p>Took off</p>
,<p>Are taking off</p>
