HTML
<p>It ___ cold next morning.</p>,1,one,
*,<p>will be</p>
,<p>was</p>
,<p>is</p>
,<p>are</p>
<p>___ these jeans big or small for you when you tried them on?</p>,1,one,
,<p>Will be</p>
*,<p>Were</p>
,<p>Is</p>
,<p>Are</p>
<p>___ your skirt and blouse white?</p>,1,one,
,<p>Will be</p>
,<p>Was</p>
*,<p>Are</p>
<p>___ it warm or cold yesterday?</p>,1,one,
,<p>Will be</p>
*,<p>Was</p>
,<p>Is</p>
<p>___ your sweater new or old?</p>,1,one,
,<p>Will be</p>
,<p>Was</p>
*,<p>Is</p>
<p>Our next lesson ___ about domestic animals.</p>,1,one,
*,<p>will be</p>
,<p>was</p>
,<p>is</p>
<p>Their umbrella ___ too dirty and he put it under the table.</p>,1,one,
,<p>will be</p>
*,<p>was</p>
,<p>is</p>
<p>___ the field green? I didn't see it.</p>,1,one,
,<p>Will be</p>
*,<p>Was</p>
,<p>Is</p>
<p>Who ___ the next?</p>,1,one,
*,<p>will be</p>
,<p>was</p>
,<p>is</p>
