HTML
<p>He ___ at 7.00 in the morning.</p>,1,one,
*,<p>gets up</p>
,<p>am getting up</p>
,<p>will get</p>
<p>Last year we ___ to the Black Sea.</p>,1,one,
,<p>go</p>
,<p>are going</p>
*,<p>went</p>
<p>Great! He ___ the names of the four oceans!</p>,1,one,
*,<p>knows</p>
,<p>is knowing</p>
,<p>knew</p>
<p>Now we  ___ to swim in the river.</p>,1,one,
,<p>learn</p>
*,<p>are learning</p>
,<p>learned</p>
<p>Look! The sheep ___ in the field.</p>,1,one,
,<p>walk</p>
*,<p>are walking</p>
,<p>walked</p>
<p>The children ___  now.</p>,1,one,
,<p>play</p>
*,<p>are playing</p>
,<p>played</p>
<p>I ___ your book yesterday.</p>,1,one,
,<p>take </p>
,<p>am taking </p>
*,<p>took </p>
<p>He ____ homework every day.</p>,1,one,
*,<p>does</p>
,<p>is doing</p>
,<p>will do</p>
<p>Listen! We ___ to them in their animal language!</p>,1,one,
,<p>speak</p>
*,<p>are speaking</p>
,<p>spoke</p>
<p>My family ___ to the country next week.</p>,1,one,
,<p>go</p>
,<p>is going</p>
*,<p>will go</p>
