HTML
<p>It was one ________</p>,1,one,
*,<p>Thursday</p>
,<p>Tuesday</p>
,<p>Wednesday</p>
<p>Opposite her was an ordinary-looking man wearing ________________</p>,1,one,
*,<p>a dark green jacket</p>
,<p>a light blue jacket</p>
,<p>a dark blue jacket</p>
<p>I killed her and ____________ her body in the grass.</p>,1,one,
*,<p>left</p>
,<p>moved</p>
,<p>brought</p>
<p>In a corner of the room by __________ sat Sergent Grant.</p>,1,one,
*,<p>the door</p>
,<p>the table</p>
,<p>the window</p>
<p>Out of the corner of her eye Logan could see Grant shaking his head slowly ___________</p>,1,one,
*,<p>from side to side</p>
,<p>from the door to the window</p>
,<p>from Logan to Billy</p>
"<p>What did she look like? asked Logan.</p><p>""She was _______________ ""said Billy Marr very definitely, still looking Logan straight in the eyes.</p>",1,one,
*,<p>blonde</p>
,<p>brunette</p>
,<p>brown-haired</p>
"<p>""How exactly did you kill her?""</p><p>""Like I said, with ________________"", he said. </p>",1,one,
,<p>with a stick</p>
*,<p>with my own hands</p>
,<p>with a robe</p>
"<p>""I put my hands round _____________ and pressed and pressed."" </p>",1,one,
*,<p>her throat</p>
,<p>her eyes</p>
,<p>her nose</p>
"<p>""Yes,""said Marr, I ______________ her. </p>",1,one,
,<p>kissed</p>
*,<p>strangled</p>
,<p>beat</p>
<p>He came into the London Road police station once every couple of ___________ or so to tell the police about something he had done.</p>,1,one,
,<p>years</p>
,<p>weeks</p>
*,<p>months</p>
"<p>There was some surprise in his voice. </p><p>""You're not keeping me in then?""</p><p>""No, Billy"", said Logan. We're letting you __________.</p>",1,one,
*,<p>go</p>
,<p>run</p>
,<p>leave</p>
"<p>""There aren't ______________ on your face or hands ......"" said Logan.</p>",1,one,
,<p>any spots or blood</p>
,<p>any paints or dirty</p>
*,<p>any cuts or scratches</p>
<p>It was __________________ September day.</p>,1,one,
,<p>a rainy and cool</p>
*,<p>a cool and cloudy</p>
,<p>a warm and sunny</p>
"<p>I didn't want  _________ him again until well after Christmas.""</p>",1,one,
,<p>to tell</p>
*,<p>to see</p>
,<p>to keep</p>
<p>They've _________ the body of young woman on Calton Hill. </p>,1,one,
*,<p>found</p>
,<p>hidden</p>
,<p>lost</p>
"<p>""Find Billy Marr and _____________ "" ordered Logan.</p>",1,one,
,<p>talked to him</p>
,<p>asked him</p>
*,<p>get him back here</p>
