HTML
<p>She ___ that he wouldn't tell anyone.</p>,1,one,
,<p>made him promised</p>
*,<p>made him promise</p>
,<p>promised to make</p>
"<p>Does your tooth still hurt? Yes, I need a dentist ___ soon.</p>",1,one,
,<p>look at it</p>
,<p>to get it looked</p>
*,<p>to look at it</p>
<p>I ___ a couple of days ago.</p>,1,one,
,<p>had my bike to be fixed</p>
,<p>had my bike fix</p>
*,<p>had my bike fixed</p>
<p>I will not ___ with this!</p>,1,one,
,<p>allow you get away</p>
*,<p>let you get away</p>
,<p>to let you get away</p>
<p>Don't ___these things about you!</p>,1,one,
*,<p>let him say</p>
,<p>let him to say</p>
,<p>let him said</p>
<p>The movie ___ sad.</p>,1,one,
,<p>made to feel</p>
*,<p>made him feel</p>
,<p>made him to feel</p>
<p>I get my ___ from my other  address.</p>,1,one,
,<p>mail forward</p>
,<p>mail to forward</p>
*,<p>mail forwarded</p>
<p>Have your assistant ___ these letters immediately!</p>,1,one,
,<p>to send</p>
,<p>to be send</p>
*,<p>sent</p>
<p>He ___ yesterday.</p>,1,one,
*,<p>had his hair cut</p>
,<p>had his hair to be cut</p>
,<p>had hair to be cut</p>
<p>The professor ___ early.</p>,1,one,
,<p>to let the students leave</p>
*,<p>let the student leave </p>
,<p>let the student to leave</p>
