HTML
<p>___ is bad for your health.</p>,1,one,
,<p>To smoke</p>
*,<p>Smoking</p>
<p>What do you want ___ tonight?</p>,1,one,
*,<p>to do</p>
,<p>doing</p>
<p>Her daughter decided ___ a veterinarian.</p>,1,one,
*,<p>to become</p>
,<p>becoming</p>
<p>I have decided on ___ a veterinarian.</p>,1,one,
,<p>to become</p>
*,<p>becoming</p>
<p>I hope ___ to Brazil this summer.</p>,1,one,
*,<p>to travel</p>
,<p>traveling</p>
<p>The man from Venezuela appears ___ the best dancer in the group.</p>,1,one,
*,<p>to be</p>
,<p>being</p>
<p>I learned ___ French while I was living in Switzerland.</p>,1,one,
*,<p>to speak</p>
,<p>speaking</p>
<p>I remember ___ her at the beach last week.</p>,1,one,
,<p>to see</p>
*,<p>seeing</p>
<p>Don't forget ___ your mother!</p>,1,one,
*,<p>to call</p>
,<p>calling</p>
<p>She promised ___ to the theater with me.</p>,1,one,
*,<p>to go</p>
,<p>going</p>
