HTML
<p>Question</p>,~1,,
,<p>I will play volleyball unless ...</p>,<p>... I have as headache.</p>
,<p>I hope ...</p>,<p>... you'll phone me regularly.</p>
,<p>He will be working in his office ...</p>,<p>... from ten till five.</p>
,<p>I'm going to stay ...</p>,<p>... at home today.</p>
,<p>I'll be seeing them ...</p>,<p>... When I've finished with you.</p>
,<p>Don't be afraid ...</p>,<p>... I won't insult him.</p>
,"<p>They are a good team, I think ...</p>",<p>... they are going to win the match.</p>
,<p>He'll do some shopping ...</p>,<p>... and then he'll have lunch.</p>
,<p>I don't know ...</p>,<p>... when I'll come back.</p>
,<p>I'll have been living there ...</p>,<p>... for 15 years next April.</p>
