HTML
<p> </p>,~1,,
,<p>I was always afraid of ...</p>,<p>... loosing his friendship.</p>
,<p>I could feel her fingers trembling ...</p>,<p>... when she was putting her coat on.</p>
,<p>The expedition is reported ...</p>,<p>... to have reached its destination.</p>
,<p>She doesn't seem to want ...</p>,<p>... to do anything I suggest.</p>
,<p>I was tired ...</p>,<p>... climbing the mountain.</p>
,<p>I don't remember ...</p>,<p>... having seen such a picture.</p>
,<p>Nick is proud ...</p>,<p>... of being among the school leaders.</p>
,<p>I prefer ...</p>,<p>... meeting you at 7 p.m.</p>
,<p>Let us be ...</p>,<p>... the best friends in the world.</p>
,<p>He stepped aside ...</p>,<p>... for me to pass.</p>
