HTML
<p>Children always get presents _____ their birthdays.</p>,1,one,
,<p>for</p>
*,<p>on</p>
,<p>at</p>
<p>Mr Black is very keen _____ his collection of stamps.</p>,1,one,
,<p>for</p>
*,<p>on</p>
,<p>at</p>
<p>I'm interested _____ playing cards.</p>,1,one,
*,<p>in</p>
,<p>on</p>
,<p>at</p>
<p>He usually drives _____ a great speed.</p>,1,one,
,<p>with</p>
,<p>on</p>
*,<p>at</p>
<p>Will you go to the country? It depends _____ the weather.</p>,1,one,
,<p>about</p>
*,<p>on</p>
,<p>by</p>
<p>I'm tired _____ working day and night.</p>,1,one,
*,<p>of</p>
,<p>with</p>
,<p>by</p>
<p>He is liable _____ fine of $25.</p>,1,one,
,<p>of</p>
,<p>in</p>
*,<p>to</p>
<p>I arrived _____ the airport in time.</p>,1,one,
*,<p>at</p>
,<p>in</p>
,<p>to</p>
<p>I've lived here _____ ten years.</p>,1,one,
,<p>at</p>
,<p>by</p>
*,<p>for</p>
<p>There is a letter _____ you downstairs.</p>,1,one,
,<p>at</p>
,<p>to</p>
*,<p>for</p>
