HTML
<p>If I had a car I _____ to my office every day.</p>,1,one,
*,<p>would drive</p>
,<p>will drive</p>
<p>Gregory _____ on a boating trip to Lake Michigan if he had been free.</p>,1,one,
*,<p>would have gone</p>
,<p>would go</p>
<p>Lora was not in school yesterday. She _____ an accident.</p>,1,one,
,<p>will have</p>
*,<p>may have had</p>
<p>He said he could manage for the time being but he _____ some help later.</p>,1,one,
,<p>needed</p>
*,<p>would need</p>
<p>Bet was supposed to be home at 7 o'clock. She _____ about Sharon's visit.</p>,1,one,
,<p>must forget</p>
*,<p>must have forgotten</p>
<p>Where do you think he is today? He _____ late.</p>,1,one,
,<p>should have slept</p>
*,<p>may have slept</p>
<p>Lora missed her classes today. She _____ ill.</p>,1,one,
*,<p>might have fallen</p>
,<p>might had fallen</p>
<p>Robert arrived without his book. He _____ it.</p>,1,one,
*,<p>could have lost</p>
,<p>would have lost</p>
<p>Mary received a warning for speeding. She _____ so fast.</p>,1,one,
,<p>should have driven</p>
*,<p>shouldn't have driven</p>
<p>His car stopped on the way to the bank. It _____ out of petrol.</p>,1,one,
,<p>may run</p>
*,<p>may have run</p>
