HTML
"<p>If you have______time at the end of exam, check your answers. </p>",1,one,
,<p>few</p>
,<p>a few</p>
,<p>little </p>
*,<p>a little </p>
<p>Give me_______minutes and I'll be ready.</p>,1,one,
,<p>few</p>
*,<p>a few</p>
,<p>little </p>
,<p>a little </p>
"<p>We've only got_______milk left, so get some when you go shopping.</p>",1,one,
,<p>few</p>
,<p>a few</p>
,<p>little </p>
*,<p>a little </p>
<p>Just_____practice every day and you'll soon be able to play the piano.</p>,1,one,
,<p>few</p>
,<p>a few</p>
,<p>little </p>
*,<p>a little </p>
<p>We were dissapointed that______of the members came to youth club party.</p>,1,one,
*,<p>few</p>
,<p>a few</p>
,<p>little </p>
,<p>a little </p>
<p>Sprinkle_______sugar on the strawberries.</p>,1,one,
,<p>few</p>
,<p>a few</p>
,<p>little </p>
*,<p>a little </p>
"<p>I suppose now I'm 43, I have_______hope of playing football for Russia.</p>",1,one,
,<p>few</p>
,<p>a few</p>
*,<p>little </p>
,<p>a little </p>
<p>Could you help me with________exercises I don't understand?</p>,1,one,
,<p>few</p>
*,<p>a few</p>
,<p>little </p>
,<p>a little </p>
"<p>There's________coffee left, if anyone wants some.</p>",1,one,
,<p>few</p>
,<p>a few</p>
,<p>little </p>
*,<p>a little </p>
<p>Becoming an astronaut is so demanding that__________people manage it.</p>,1,one,
*,<p>few</p>
,<p>a few</p>
,<p>little </p>
,<p>a little </p>
<p>I'll meet you in half an hour - I've got________e-mails to write first. </p>,1,one,
,<p>few</p>
*,<p>a few</p>
,<p>little </p>
,<p>a little </p>
"<p>Many people feel there's_________point in voting, even in a general election. </p>",1,one,
,<p>few</p>
,<p>a few</p>
*,<p>little </p>
,<p>a little </p>
