HTML
<p>Six months from now I'll be at university________I decide to take a year off first.</p>,1,one,
*,<p>unless</p>
,<p>if</p>
<p>We'd better leave early tomorrow__________there's a lot of traffic when we get to Doncaster.</p>,1,one,
,<p>unless</p>
*,<p>in case</p>
<p>You can watch the film _________you promise to go straight to bed when it finished.</p>,1,one,
*,<p>as long as</p>
,<p>in case</p>
<p>Let's go to Mirabella's tonight____________you haven't been there before.</p>,1,one,
,<p>unless</p>
*,<p>if</p>
"<p>____________I've still got my health, I don't mind how poor I am!</p>",1,one,
,<p>Unless</p>
*,<p>So long as</p>
<p>You'd better take a sweater with you________it gets cold tonight.</p>,1,one,
,<p>if</p>
*,<p>in case</p>
<p>Do what you like_________you don't make any noise.</p>,1,one,
*,<p>provided</p>
,<p>unless</p>
<p>I'm not going to worry__________she hasn't called by midnight. </p>,1,one,
*,<p>unless</p>
,<p>as long as</p>
