HTML
"<p>_____________I have a look at those shoes in the window, please?</p>",1,one,
,<p>Must</p>
,<p>Would</p>
,<p>Should</p>
*,<p>Could</p>
<p>We________pay for the tickets as Josie won them in a competition.</p>,1,one,
,<p>mustn't</p>
*,<p>didn't have to</p>
,<p>couldn't</p>
,<p>hadn't to</p>
<p>You really_________make such a mountain out of a molehill!</p>,1,one,
,<p>can't</p>
,<p>won't</p>
,<p>mightn't </p>
*,<p>shouldn't </p>
<p>You won't_________to connect to the Internet once you've got broadband as you're online twenty-four hours a day. </p>,1,one,
*,<p>need</p>
,<p>must</p>
,<p>ought</p>
,<p>able</p>
<p>I hope we________find the cinema easily. </p>,1,one,
,<p>could </p>
,<p>may</p>
,<p>might</p>
*,<p>can</p>
"<p>We couldn't find a hotel room, so we_________sleep in the car. It was awful!</p>",1,one,
,<p>must</p>
,<p>should</p>
*,<p>had to</p>
,<p>could</p>
<p>We'd love to_________afford to go on a round-the-world cruise. </p>,1,one,
,<p>can</p>
*,<p>be able to</p>
,<p>will have to</p>
,<p>have to</p>
<p>Fiona can't____________about the meeting. I reminded her this morning!</p>,1,one,
,<p>forget</p>
,<p>be forgetting </p>
*,<p>have forgotten </p>
,<p>have been forgetting</p>
"<p>She could__________in the garage when we came round, which would explain why she didn't hear the bell.</p>",1,one,
,<p>work</p>
,<p>be working </p>
,<p>have worked </p>
*,<p>have been working </p>
<p>You'll_________tell the police that your house was broken into.</p>,1,one,
*,<p>have to</p>
,<p>must </p>
,<p>had to</p>
,<p>should</p>
