HTML
"<p>He tried to deny__________the memory, but no one believed him. </p>",1,one,
,<p>take </p>
,<p>to take </p>
*,<p>taking</p>
<p>I hope___________a pilot when I grow up. </p>,1,one,
,<p>become </p>
*,<p>to become </p>
,<p>becoming </p>
"<p>Mr Foster has decided__________, so we're going to have a party. </p>",1,one,
,<p>retire </p>
*,<p>to retire </p>
,<p>retiring </p>
<p>Do you remember___________to Germany when you were two years old? </p>,1,one,
,<p>go</p>
,<p>to go</p>
*,<p>going</p>
<p>You can make the dog___________to you by shouting 'come'. </p>,1,one,
*,<p>come</p>
,<p>to come </p>
,<p>coming</p>
<p>There's no answer at the office. Let's try___________Roger's mobile. </p>,1,one,
,<p>call</p>
,<p>to call</p>
*,<p>calling</p>
