HTML
"<p>When I was younger, I______________eat pizza almost every day!</p>",1,,
*,used to
<p>__________there____________be a supermarket on the corner. </p>,1,,
*,Did/use to
"<p>Bradley is a teacher, but he____________want to be a train driver. </p>",1,,
*,used to
"<p>I_______________like eating cabbage, but now I love it! </p>",1,,
*,didn't use to
*,never used to
<p>___________Rick_____________have blond hair when he was a little boy?</p>,1,,
*,Did/use to
"<p>I know Lily____________cook much, but now I think she makes dinner every day. </p>",1,,
*,didn't use to
*,never used to
