HTML
"<p>If Charles had had enough money, he'd have bought CD.</p><p>1. Did Charles have enough money?</p><p>2. Did he buy the CD? </p>",1,one,
,<p>Yes/Yes</p>
,<p>Yes/No</p>
*,<p>No/No</p>
,<p>No/Yes</p>
<p>Cilla would have called Andrea if she'd taken her mobile with her.</p><p>1. Did Cilla call Andrea? </p><p>2. Did she take her mobile with her? </p>,1,one,
,<p>Yes/Yes</p>
,<p>Yes/No</p>
*,<p>No/No</p>
,<p>No/Yes</p>
"<p>If we hadn't been late, we'd have seen the start of the film. </p><p>1. Were they late?</p><p>2. Did they see the start of the film. </p>",1,one,
,<p>Yes/Yes</p>
*,<p>Yes/No</p>
,<p>No/No</p>
,<p>No/Yes</p>
<p>Paul wouldn't have made a mistake If he'd listened to Lee. </p><p>1. Did Paul make a mistake? </p><p>2. Did Paul listen to Lee?</p>,1,one,
,<p>Yes/Yes</p>
*,<p>Yes/No</p>
,<p>No/No</p>
,<p>No/Yes</p>
<p>Jo wouldn't have gone to the party if she hadn't been invited.</p><p>1. Did Jo go to the party? </p><p>2. Was Jo invented to the party? </p>,1,one,
*,<p>Yes/Yes</p>
,<p>Yes/No</p>
,<p>No/No</p>
,<p>No/Yes</p>
<p>Tom would have forgotten his keys if Lisa hadn't reminded him. </p><p>1. Did Tom forget his keys? </p><p>2. Did Lisa remind him about his keys?</p>,1,one,
,<p>Yes/Yes</p>
,<p>Yes/No</p>
,<p>No/No</p>
*,<p>No/Yes</p>
