HTML
<p>Who flew with Harry to uncle's house?</p>,1,one,
,<p>Professor Dumbledore</p>
*,<p>Hugrid</p>
,<p>Professor McGonagall</p>
<p>How many presents did Dudley get for birthday?</p>,1,one,
*,<p>36</p>
,<p>37</p>
,<p>38</p>
<p>What did the snake say to Harry in the Zoo?</p>,1,one,
*,<p>Thanks</p>
,<p>Apreciate</p>
,<p>bye</p>
<p>Where weren't letters?</p>,1,one,
*,<p>in the bed</p>
,<p>in the fireplace</p>
,<p>in the egg</p>
,<p>on the floor</p>
<p>All students must have...</p>,1,one,
*,<p>a robe and a wand</p>
,<p>a book and a pen</p>
,<p>a wand and a bag</p>
<p>Which animals may students bring to school?</p>,1,one,
,"<p>an owl, a snake, a cat</p>"
,"<p>an owl, a dog, a cat</p>"
*,"<p>an owl, a cat, a toad</p>"
<p>How many players does the team have in Quidditch?</p>,1,one,
,<p>9</p>
*,<p>7</p>
,<p>6</p>
"<p>How do you say ""поле"" in English, where Quidditch is played?</p>",1,one,
,<p>field</p>
*,<p>pitch</p>
,<p>court</p>
<p>Which school did Hurry enter?</p>,1,one,
*,<p>Gryffindor</p>
,<p>Slytherin</p>
,<p>Hufflepuff</p>
<p>Which player was Harry in Quidditch?</p>,1,one,
*,<p>Seeker</p>
,<p>Keeper</p>
,<p>Beater</p>
<p>Which Christmas present did Harry get ?</p>,1,one,
,<p>a magic book</p>
*,<p>an invisibility cloak</p>
,<p>a broom</p>
<p>What did Harry see in the mirror?</p>,1,one,
,<p>Ron</p>
*,<p>his parents</p>
,<p>himself</p>
<p>What did Sorcerer's stone produce?</p>,1,one,
,<p>Clean water</p>
*,<p>Elixir of Life</p>
,<p>Gold</p>
<p>How did children put to sleep Fluff (a big dog) ?</p>,1,one,
*,<p>play music</p>
,<p>sing a song</p>
,<p>give a sweet</p>
<p>What did Voldemor want to get from Harry?</p>,1,one,
*,<p>stone</p>
,<p>Elixir of Life</p>
,<p>Love</p>
<p>What happened to a stone?</p>,1,one,
*,<p>it was destroyed</p>
,<p>it became bigger</p>
,<p>it turned into dust</p>
<p>Which school got most points?</p>,1,one,
*,<p>Gryffindor</p>
,<p>Slytherin</p>
,<p>Hufflepuff</p>
