HTML
<p>He has got The key. I................give him key.</p>,1,one,
,<p>mustn't</p>
*,<p>don't have to</p>
,<p>must</p>
<p>You...........................open the box. It's dangerous.</p>,1,one,
*,<p>mustn't</p>
,<p>don't have to</p>
,<p>must</p>
<p>Soon we'll............visit London.</p>,1,one,
,<p>can</p>
*,<p>be able to</p>
,<p>must</p>
<p>She wanted.............the tests.</p>,1,one,
,<p>writes</p>
*,<p>to write</p>
,<p>write</p>
<p>She must.............the tests.</p>,1,one,
,<p>writes</p>
,<p>to write</p>
*,<p>write</p>
<p>What....................bad advice!</p>,1,one,
,<p>a</p>
,<p>the</p>
*,<p>-</p>
<p>Jonathan was ill. He...................stay at home yesterday.</p>,1,one,
,<p>must</p>
,<p>has to</p>
*,<p>had to</p>
<p>The news...............good.</p>,1,one,
*,<p>was</p>
,<p>were</p>
,<p>are</p>
<p>I'm sure he will ask me to meet the group. I'll..................go to the airport.</p>,1,one,
,<p>must</p>
,<p>had to</p>
*,<p>have to</p>
<p>I think you.................to play chess well.</p>,1,one,
,<p>can</p>
*,<p>will be able</p>
,<p>must</p>
