HTML
"<p><img class=""fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2020-12-10%2F1f338061-bbc1-4d02-beda-67661ed5ebe4-4OATT-MJJBA.jpg""/>Text</p>"
<p>What does Mr Wainwright consider to be magnificent?</p>,1,one,
,<p>His position </p>
,<p>His duties </p>
,<p>People's opinions </p>
*,<p>His abilities </p>
<p>In what way is Mr Wainwright's job like a surgeon's? </p>,1,one,
*,<p>It is well paid </p>
,<p>People appreciate both jobs </p>
,<p>The duties are similar </p>
,<p>People look down on both jobs</p>
"<p>The phrase ""slap on the wrist"" in the third paragragh means...</p>",1,one,
,<p>a severe punishment </p>
*,<p>a light warning </p>
,<p>tapping someone's hand with wood</p>
,<p>light praise </p>
<p>How does a butler learn how to foresee his boss's needs?</p>,1,one,
,<p>Through training </p>
,<p>From higher staff </p>
,<p>From the boss himself </p>
*,<p>Through personal devotion </p>
"<p>""That"" in ""That was what Mr Wainwright savoured the most"" in the fifth paragraph refers to...</p>",1,one,
,<p>the surroundings he dined in </p>
*,<p>the food he dined on </p>
,<p>the people he dined with </p>
,<p>the manner in which he dined</p>
<p>What is true about Mr Wainwright's relationships with the Channings? </p>,1,one,
,<p>The earl defended him from Lady Channing </p>
*,<p>Lady Channing deeply respected him </p>
,<p>He wished he was closer to the earl</p>
,<p>He and the earl often had problems. </p>
<p>Mr Wainwright was satisfied with being a butler because...</p>,1,one,
,<p>the lady had said many kind things to him over the years.</p>
,<p>he enjoyed serving others without wanting anything in return </p>
,<p>a few small things were said to him an a daily basis </p>
*,<p>he realised he was a valued and necessary part of something </p>
